# Position (m)	PrebendOutOfPlane (m)	PrebendInPlane (m)	Curvature angle (deg)	Twist angle (deg)	Chord length (-)	Airfoil nickname
0.000000	0.000100	0.000000	0.000000	14.500000	5.380000	1
2.643018	-0.010500	0.000013	0.000000	14.500000	5.380000	1
5.379770	-0.023400	0.000074	0.000000	14.500000	5.380000	2
8.202738	-0.038700	0.033989	0.000000	14.400000	5.450000	2
11.103143	-0.057200	0.161225	0.000000	13.900000	5.640000	2
14.071021	-0.079600	0.351227	0.000000	12.500000	5.870000	2
17.095336	-0.106700	0.533466	0.000000	10.600000	6.070000	2
20.164123	-0.139200	0.675757	0.000000	8.890000	6.180000	3
23.264665	-0.177800	0.772480	0.000000	7.800000	6.200000	4
26.383699	-0.223300	0.830877	0.000000	7.020000	6.140000	4
29.507638	-0.276100	0.857274	0.000000	6.380000	6.020000	5
32.622794	-0.336800	0.860425	0.000000	5.780000	5.850000	5
35.715638	-0.405600	0.846623	0.000000	5.230000	5.650000	5
38.773020	-0.482600	0.813375	0.000000	4.670000	5.420000	6
41.782389	-0.567900	0.777823	0.000000	4.090000	5.190000	6
44.731996	-0.661100	0.741449	0.000000	3.490000	4.940000	6
47.611062	-0.761900	0.704723	0.000000	2.890000	4.700000	6
50.409916	-0.869600	0.668520	0.000000	2.300000	4.460000	6
53.120101	-0.983600	0.633403	0.000000	1.740000	4.220000	6
55.734435	-1.102900	0.599802	0.000000	1.210000	4.000000	6
58.247048	-1.226800	0.567912	0.000000	0.719000	3.790000	6
60.653364	-1.354200	0.537856	0.000000	0.273000	3.590000	6
62.950095	-1.484000	0.509714	0.000000	-0.130000	3.400000	6
65.135158	-1.615200	0.483523	0.000000	-0.493000	3.220000	6
67.207598	-1.746800	0.459285	0.000000	-0.820000	3.060000	6
69.167492	-1.878000	0.436956	0.000000	-1.110000	2.910000	6
71.015854	-2.007800	0.416442	0.000000	-1.380000	2.780000	6
72.754510	-2.135200	0.397604	0.000000	-1.630000	2.650000	6
74.385974	-2.259900	0.380392	0.000000	-1.860000	2.540000	6
75.913347	-2.381000	0.364616	0.000000	-2.080000	2.430000	6
77.340217	-2.498100	0.349715	0.000000	-2.280000	2.330000	6
78.670523	-2.610700	0.334862	0.000000	-2.470000	2.230000	6
79.908485	-2.718700	0.319360	0.000000	-2.640000	2.130000	6
81.058521	-2.821700	0.302864	0.000000	-2.800000	2.020000	6
82.125157	-2.919500	0.285498	0.000000	-2.950000	1.900000	6
83.112957	-3.012100	0.266416	0.000000	-3.070000	1.780000	6
84.026486	-3.099600	0.243902	0.000000	-3.180000	1.630000	6
84.870253	-3.182000	0.216018	0.000000	-3.270000	1.440000	6
85.648663	-3.259200	0.177540	0.000000	-3.360000	1.180000	6
86.366000	-3.331500	0.090000	0.000000	-3.430000	0.600000	6
